Code,Level,Description,ISIC code
30301,5,Manufacture and assembly of aircraft and spacecraft (including aircraft engines and other parts),3030
30302,5,Repair and servicing of aircraft and spacecraft (including aircraft engines and other parts),3030
30302,5,Repair and servicing of aircraft and spacecraft (including aircraft engines and other parts),3315
30400,5,Manufacture of military fighting vehicles,3040
30400,5,Manufacture of military fighting vehicles,3315
30910,5,Manufacture and assembly of motorcycles and scooters (including engines and other parts and accessories),3091
30920,5,"Manufacture and assembly of bicycles, tricycles, trishaws and invalid carriages (including parts and accessories)",3092
30990,5,"Manufacture of other transport equipment n.e.c. (e.g. carts, wagons)",3099
31001,5,Manufacture of furniture and fixtures of wood (including upholstery),3100
31002,5,Manufacture of furniture of rattan and cane,3100
31003,5,Manufacture of furniture and fixtures primarily of metal,3100
31004,5,"Manufacture of furniture of other materials except primarily of stone, ceramic or concrete",3100
31005,5,Manufacture of window and door screens and shades,3100
31006,5,Manufacture of mattresses including those of foam rubber,3100
31009,5,Manufacture of furniture n.e.c.,3100
32111,5,Manufacture of jewellery except costume jewellery,3211
32112,5,Manufacture of pewter ware,3211
32119,5,Manufacture of jewellery and related articles n.e.c. (except costume jewellery),3211
32120,5,Manufacture of costume jewellery and related articles,3212
32200,5,Manufacture of musical instruments,3220
32300,5,"Manufacture of sporting and athletic goods (including gym, diving and underwater equipment)",3230
32400,5,Manufacture of games and toys,3240
32501,5,Manufacture of medical research and clinical diagnostic instruments and supplies (e.g. reagents),2660
32501,5,Manufacture of medical research and clinical diagnostic instruments and supplies (e.g. reagents),3250
32502,5,"Manufacture of medical disposables and surgical supplies (e.g. test kits, syringes, tubes, fluid administration sets)",3250
32503,5,"Manufacture of implantables and artificial limbs (e.g. heart valves, stents, orthopaedic implants)",3250
32504,5,"Manufacture of ophthalmic goods (e.g. spectacles, contact lenses and parts)",3250
32509,5,"Manufacture of medical and dental tools, instruments and supplies n.e.c.",3250
32901,5,Manufacture of signs and advertising displays (including neon-lighting),3290
32909,5,Other manufacturing industries n.e.c.,3290
35101,5,Generation of electricity by fossil fuels,3510
35102,5,"Generation of electricity by other sources (e.g. solar power, biofuels etc)",3510
35103,5,"Transmission, distribution and sale of electricity",3510
35104,5,"Other related services (e.g. electricity brokers, meter reading)",3510
35201,5,Manufacture of gas; distribution of gaseous fuels through mains,3520
35201,5,Manufacture of gas; distribution of gaseous fuels through mains,5221
35202,5,Processing of natural gas,3520
35203,5,Other related services (e.g. arranging for sale of natural gas),3520
35300,5,Supply of air or water for cooling or heating purposes,3530
36000,5,"Collection, purification and distribution of water (including desalination of water)",3600
37000,5,Operation of sewer systems (including sewer treatment facilities),3700
38100,5,Collection of waste,3811
38100,5,Collection of waste,3812
38200,5,Treatment and disposal of waste (including remediation activities),3821
38200,5,Treatment and disposal of waste (including remediation activities),3822
38200,5,Treatment and disposal of waste (including remediation activities),3900
38301,5,Recycling of metal waste and scrap,3830
38309,5,Recycling of non-metal waste n.e.c. (e.g. marine clay and oil sludge),3830
41001,5,General contractors (building construction including major upgrading works),4100
41002,5,Structural repair contractors,4100
41009,5,Building construction n.e.c.,4100
42101,5,General contractors (non-building construction),4210
42102,5,Road and railway construction,4210
42103,5,"Bridge, tunnel, viaduct and expressway construction",4210
42201,5,Water and gas pipe-line and sewer construction,4220
42202,5,Communications and power line construction,4220
42901,5,Land reclamation works,4290
42902,5,Dam and drainage construction,4290
42903,5,"Marine construction (e.g. harbours, piers, docks, wharves)",4290
42909,5,Construction of other civil engineering projects n.e.c. (e.g. playground systems),4290
43110,5,Wrecking and demolition works,4311
43121,5,"Soil investigation, treatment and stabilisation (including grouting and guniting)",4312
43122,5,Excavation and earthmoving works,4312
43129,5,Site preparation n.e.c.,4312
43210,5,Electrical works,4321
43220,5,"Installation of plumbing, heating (non-electric) and air-conditioning systems",4322
43291,5,"Installation and erection of building equipment (e.g. lifts, escalators, travellators)",4329
43292,5,Installation of fire protection and security alarm systems,4329
43293,5,Installation of building automated systems for remote monitoring,4329
43294,5,Installation of awning and window shades,4329
43295,5,Installation of thermal and sound insulation (including solar control films),4329
43296,5,Signcraft installation,4329
43299,5,Other construction installation n.e.c.,4329
43301,5,Renovation contractors,4330
43302,5,Tile setting and plastering,4330
43303,5,Joinery and other woodworks (e.g. laminated or parquet flooring),4330
43304,5,Painting and decorating,4330
43305,5,Glass and glazing works (including mirror and shower screen installation),4330
43306,5,Curtain walling/cladding works,4330
43307,5,"Installation of doors, gates, grilles and windows",4330
43309,5,Building completion and finishing n.e.c.,4330
43901,5,"Foundation works (including micropiling, conventional piling and underpinning)",4390
43902,5,"Brick laying, stone setting and cement works",4390
43903,5,Roofing works (including timber carcassing),4390
43904,5,Production of pre-cast components,1622
43904,5,Production of pre-cast components,2395
43904,5,Production of pre-cast components,2511
43904,5,Production of pre-cast components,4390
43905,5,Scaffolding works,4390
43906,5,Sandblasting/Shotblasting works (except ships),4390
43907,5,Production of Prefabricated Prefinished Volumetric Construction (PPVC) modules,1622
43907,5,Production of Prefabricated Prefinished Volumetric Construction (PPVC) modules,2395
43907,5,Production of Prefabricated Prefinished Volumetric Construction (PPVC) modules,2511
43907,5,Production of Prefabricated Prefinished Volumetric Construction (PPVC) modules,4390
43909,5,Other specialised construction and related activities n.e.c. (excluding online marketplaces),4390
46100,5,Wholesale on a fee or commission basis (excluding online marketplaces),4610
46211,5,Wholesale of cut flowers and plants,4620
46212,5,Wholesale of aquarium fishes (including food and accessories),4620
46213,5,Wholesale of pet birds and animals (including food and accessories),4620
46219,5,Wholesale of agricultural raw materials and live animals n.e.c. (excluding tropical produce),4620
46219,5,Wholesale of agricultural raw materials and live animals n.e.c. (excluding tropical produce),4669
46221,5,Wholesale of rubber (including rubber brokers),4669
46222,5,Wholesale of pepper and other spices,4630
46223,5,"Wholesale of coffee, cocoa and tea",4630
46224,5,Wholesale of coconut,4630
46225,5,Wholesale of palm oil,4630
46229,5,Wholesale of tropical produce n.e.c.,4620
46229,5,Wholesale of tropical produce n.e.c.,4669
