Code,Level,Description,ISIC code
47742,5,"Retail sale of handicrafts, collectibles and gifts",4773
47742,5,"Retail sale of handicrafts, collectibles and gifts",4791
47742,5,"Retail sale of handicrafts, collectibles and gifts",4799
47743,5,Retail sale of cut flowers (including wreaths),4773
47743,5,Retail sale of cut flowers (including wreaths),4791
47743,5,Retail sale of cut flowers (including wreaths),4799
47744,5,Retail sale of artificial flowers and plants,4773
47744,5,Retail sale of artificial flowers and plants,4791
47744,5,Retail sale of artificial flowers and plants,4799
47745,5,Retail sale of aquarium fishes (including food and accessories),4773
47745,5,Retail sale of aquarium fishes (including food and accessories),4791
47745,5,Retail sale of aquarium fishes (including food and accessories),4799
47746,5,Retail sale of pet birds and animals (including food and accessories),4773
47746,5,Retail sale of pet birds and animals (including food and accessories),4791
47746,5,Retail sale of pet birds and animals (including food and accessories),4799
47749,5,"Retail sale of handicrafts and fancy goods, flowers, plants and pet animals n.e.c.",4773
47749,5,"Retail sale of handicrafts and fancy goods, flowers, plants and pet animals n.e.c.",4774
47749,5,"Retail sale of handicrafts and fancy goods, flowers, plants and pet animals n.e.c.",4791
47749,5,"Retail sale of handicrafts and fancy goods, flowers, plants and pet animals n.e.c.",4799
47751,5,Retail sale of spectacles and other optical goods,4773
47751,5,Retail sale of spectacles and other optical goods,4791
47751,5,Retail sale of spectacles and other optical goods,4799
47752,5,Retail sale of cameras and other photographic goods,4773
47752,5,Retail sale of cameras and other photographic goods,4791
47752,5,Retail sale of cameras and other photographic goods,4799
47759,5,Retail sale of optical and photographic goods n.e.c.,4773
47759,5,Retail sale of optical and photographic goods n.e.c.,4791
47759,5,Retail sale of optical and photographic goods n.e.c.,4799
47761,5,Retail sale of joss paper and other ceremonial products,4773
47761,5,Retail sale of joss paper and other ceremonial products,4791
47761,5,Retail sale of joss paper and other ceremonial products,4799
47762,5,Retail sale of liquefied petroleum gas (LPG),4773
47762,5,Retail sale of liquefied petroleum gas (LPG),4791
47762,5,Retail sale of liquefied petroleum gas (LPG),4799
47769,5,Retail sale of specific commodities n.e.c.,4773
47769,5,Retail sale of specific commodities n.e.c.,4791
47769,5,Retail sale of specific commodities n.e.c.,4799
47770,5,Retail sale of second-hand goods in stores,4774
47770,5,Retail sale of second-hand goods in stores,4791
47770,5,Retail sale of second-hand goods in stores,4799
47801,5,Stalls (including pushcarts) selling uncooked food,4781
47802,5,Stalls (including pushcarts) selling other commodities (other than uncooked food),4781
47802,5,Stalls (including pushcarts) selling other commodities (other than uncooked food),4782
47802,5,Stalls (including pushcarts) selling other commodities (other than uncooked food),4789
49101,5,Railroad services,4911
49101,5,Railroad services,4912
49102,5,Mass rapid transit systems (including light rail),4911
49211,5,Public bus services (scheduled services),4921
